segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
BKK JFK,2024-08-03,Saturday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",23,45,51.11,32.0,47.0,68.09,Beef
BKK JFK,2024-08-03,Saturday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",22,45,48.89,15.0,47.0,31.91,Seafood
BKK JFK,2024-08-03,nan,S,Refreshments,Montevibbiano Pizza - Margherita,77,77,100.0,,,,nan
BKK JFK,2024-08-04,Sunday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,29,59,49.15,42.0,57.0,73.68,Chicken
BKK JFK,2024-08-04,Sunday,S,Dinner,"5C24 BKK SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",30,59,50.85,15.0,57.0,26.32,Seafood
BKK JFK,2024-08-04,Sunday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",29,58,50.0,36.0,57.0,63.16,Beef
BKK JFK,2024-08-04,Sunday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",29,58,50.0,21.0,57.0,36.84,Seafood
BKK JFK,2024-08-04,nan,S,Refreshments,Montevibbiano Pizza - Margherita,84,84,100.0,,,,nan
BKK JFK,2024-08-05,Monday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,25,51,49.02,36.0,48.0,75.0,Chicken
BKK JFK,2024-08-05,Monday,S,Dinner,"5C24 BKK SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",26,51,50.98,12.0,48.0,25.0,Seafood
BKK JFK,2024-08-05,Monday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",25,50,50.0,18.0,48.0,37.5,Seafood
BKK JFK,2024-08-05,Monday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",25,50,50.0,30.0,48.0,62.5,Beef
BKK JFK,2024-08-05,nan,S,Refreshments,Montevibbiano Pizza - Margherita,78,78,100.0,,,,nan
BKK JFK,2024-08-06,Tuesday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,22,45,48.89,34.0,44.0,77.27,Chicken
BKK JFK,2024-08-06,Tuesday,S,Dinner,"5C24 BKK SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",23,45,51.11,10.0,44.0,22.73,Seafood
BKK JFK,2024-08-06,Tuesday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",23,46,50.0,28.0,44.0,63.64,Beef
BKK JFK,2024-08-06,Tuesday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",23,46,50.0,16.0,44.0,36.36,Seafood
BKK JFK,2024-08-06,nan,S,Refreshments,Montevibbiano Pizza - Margherita,67,67,100.0,,,,nan
BKK JFK,2024-08-07,Wednesday,S,Dinner,"5C24 BKK SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",27,53,50.94,15.0,52.0,28.85,Seafood
