segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
SIN CDG,2025-05-27,Tuesday,Y,Dinner,"5C19 SIN LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",52,130,40,42,127,33.07,Seafood
SIN CDG,2025-05-27,Tuesday,Y,Dinner,"5C22 SIN FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",78,130,60,85,127,66.93,Chicken
SIN CDG,2025-05-27,Tuesday,Y,Lunch,"5C24 SIN LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",52,130,40,42,127,33.07,Seafood
SIN CDG,2025-05-27,Tuesday,Y,Lunch,5C24 SIN FFM Soy Garlic Chicken Noodles,78,130,60,85,127,66.93,Chicken
SIN CDG,2025-05-28,Wednesday,Y,Dinner,"5C22 SIN FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",79,131,60.31,84,126,66.67,Chicken
SIN CDG,2025-05-28,Wednesday,Y,Dinner,"5C19 SIN LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",52,131,39.69,42,126,33.33,Seafood
SIN CDG,2025-05-28,Wednesday,Y,Lunch,5C24 SIN FFM Soy Garlic Chicken Noodles,79,131,60.31,85,126,67.46,Chicken
SIN CDG,2025-05-28,Wednesday,Y,Lunch,"5C24 SIN LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",52,131,39.69,41,126,32.54,Seafood
SIN CDG,2025-05-29,Thursday,Y,Dinner,"5C19 SIN LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",59,149,39.6,47,141,33.33,Seafood
SIN CDG,2025-05-29,Thursday,Y,Dinner,"5C22 SIN FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",90,149,60.4,94,141,66.67,Chicken
SIN CDG,2025-05-29,Thursday,Y,Lunch,5C24 SIN FFM Soy Garlic Chicken Noodles,90,149,60.4,96,141,68.09,Chicken
SIN CDG,2025-05-29,Thursday,Y,Lunch,"5C24 SIN LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",59,149,39.6,45,141,31.91,Seafood
SIN CDG,2025-05-30,Friday,Y,Dinner,"5C19 SIN LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",63,158,39.87,56,157,35.67,Seafood
SIN CDG,2025-05-30,Friday,Y,Dinner,"5C22 SIN FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",95,158,60.13,101,157,64.33,Chicken
SIN CDG,2025-05-30,Friday,Y,Lunch,5C24 SIN FFM Soy Garlic Chicken Noodles,95,158,60.13,104,157,66.24,Chicken
SIN CDG,2025-05-30,Friday,Y,Lunch,"5C24 SIN LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",63,158,39.87,53,157,33.76,Seafood
SIN CDG,2025-05-31,Saturday,Y,Dinner,"5C22 SIN FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",103,171,60.23,110,167,65.87,Chicken
SIN CDG,2025-05-31,Saturday,Y,Dinner,"5C19 SIN LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",68,171,39.77,57,167,34.13,Seafood
SIN CDG,2025-05-31,Saturday,Y,Lunch,5C24 SIN FFM Soy Garlic Chicken Noodles,103,171,60.23,112,167,67.07,Chicken
SIN CDG,2025-05-31,Saturday,Y,Lunch,"5C24 SIN LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",68,171,39.77,55,167,32.93,Seafood
SIN CDG,2025-06-01,Sunday,Y,Dinner,5C24 SIN FFM Gong Bao Chicken with Steamed Rice,96,160,60,103,159,64.78,Chicken
SIN CDG,2025-06-01,Sunday,Y,Dinner,5C22 SIN FFM Poached Fish with Pasta in Dill Cream Sauce,64,160,40,56,159,35.22,Seafood
SIN CDG,2025-06-01,Sunday,Y,Lunch,"5C19 SIN FFM Chicken Meatball Marinara, Fusili",96,160,60,107,159,67.3,Chicken
SIN CDG,2025-06-01,Sunday,Y,Lunch,"5C19 SIN FFM Sweet & Sour Basa Fish, Egg Fried Rice with Mixed Vegetables",64,160,40,52,159,32.7,Seafood
SIN CDG,2025-06-02,Monday,Y,Dinner,5C22 SIN FFM Poached Fish with Pasta in Dill Cream Sauce,63,159,39.62,56,151,37.09,Seafood
SIN CDG,2025-06-02,Monday,Y,Dinner,5C24 SIN FFM Gong Bao Chicken with Steamed Rice,96,159,60.38,95,151,62.91,Chicken
SIN CDG,2025-06-02,Monday,Y,Lunch,"5C19 SIN FFM Chicken Meatball Marinara, Fusili",96,159,60.38,98,151,64.9,Chicken
SIN CDG,2025-06-02,Monday,Y,Lunch,"5C19 SIN FFM Sweet & Sour Basa Fish, Egg Fried Rice with Mixed Vegetables",63,159,39.62,53,151,35.1,Seafood
SIN CDG,2025-06-03,Tuesday,Y,Dinner,5C22 SIN FFM Poached Fish with Pasta in Dill Cream Sauce,54,137,39.42,48,137,35.04,Seafood
