segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
BKK CDG,2025-04-10,Thursday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",72,120,60.0,80,118,67.8,Chicken
BKK CDG,2025-04-10,Thursday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,48,120,40.0,38,118,32.2,Seafood
BKK CDG,2025-04-11,Friday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,66,110,60.0,70,109,64.22,Chicken
BKK CDG,2025-04-11,Friday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",44,110,40.0,39,109,35.78,Seafood
BKK CDG,2025-04-11,Friday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",66,110,60.0,71,109,65.14,Chicken
BKK CDG,2025-04-11,Friday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,44,110,40.0,38,109,34.86,Seafood
BKK CDG,2025-04-12,Saturday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,82,136,60.29,91,136,66.91,Chicken
BKK CDG,2025-04-12,Saturday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",54,136,39.71,45,136,33.09,Seafood
BKK CDG,2025-04-12,Saturday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,54,136,39.71,44,136,32.35,Seafood
BKK CDG,2025-04-12,Saturday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",82,136,60.29,92,136,67.65,Chicken
BKK CDG,2025-04-13,Sunday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",59,148,39.86,49,146,33.56,Seafood
BKK CDG,2025-04-13,Sunday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,89,148,60.14,97,146,66.44,Chicken
BKK CDG,2025-04-13,Sunday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",89,148,60.14,97,146,66.44,Chicken
BKK CDG,2025-04-13,Sunday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,59,148,39.86,49,146,33.56,Seafood
BKK CDG,2025-04-14,Monday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,51,84,60.71,57,82,69.51,Chicken
BKK CDG,2025-04-14,Monday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",33,84,39.29,25,82,30.49,Seafood
BKK CDG,2025-04-14,Monday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",51,84,60.71,59,82,71.95,Chicken
BKK CDG,2025-04-14,Monday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,33,84,39.29,23,82,28.05,Seafood
BKK CDG,2025-04-15,Tuesday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,49,81,60.49,50,78,64.1,Chicken
BKK CDG,2025-04-15,Tuesday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",32,81,39.51,28,78,35.9,Seafood
BKK CDG,2025-04-15,Tuesday,Y,Lunch,"5C19 BKK FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",49,81,60.49,52,78,66.67,Chicken
BKK CDG,2025-04-15,Tuesday,Y,Lunch,5C19 BKK FFM Baked Fish with Herbed Sauce,32,81,39.51,26,78,33.33,Seafood
BKK CDG,2025-04-16,Wednesday,Y,Dinner,5C22 BKK FFM Grilled Chicken Breast with Thyme Jus,83,137,60.58,92,135,68.15,Chicken
BKK CDG,2025-04-16,Wednesday,Y,Dinner,"5C19 BKK FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",54,137,39.42,43,135,31.85,Seafood
