segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
PEK BKK,2024-06-13,Thursday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",83,166,50.0,114,167,68.26,Chicken
PEK BKK,2024-06-14,Friday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",71,142,50.0,53,147,36.05,Beef
PEK BKK,2024-06-14,Friday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",71,142,50.0,94,147,63.95,Chicken
PEK BKK,2024-06-15,Saturday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",83,165,50.3,57,168,33.93,Beef
PEK BKK,2024-06-15,Saturday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",82,165,49.7,111,168,66.07,Chicken
PEK BKK,2024-06-15,Saturday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",83,166,50.0,57,168,33.93,Beef
PEK BKK,2024-06-15,Saturday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",83,166,50.0,111,168,66.07,Chicken
PEK BKK,2024-06-16,Sunday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",88,177,49.72,126,190,66.32,Chicken
PEK BKK,2024-06-16,Sunday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",89,177,50.28,64,190,33.68,Beef
PEK BKK,2024-06-17,Monday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",84,168,50.0,56,172,32.56,Beef
PEK BKK,2024-06-17,Monday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",84,169,49.7,116,172,67.44,Chicken
PEK BKK,2024-06-17,Monday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",85,169,50.3,56,172,32.56,Beef
PEK BKK,2024-06-17,Monday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",84,168,50.0,116,172,67.44,Chicken
