segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
SIN JFK,2024-08-12,Monday,S,Dinner,"5C24 SIN SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",26,51,50.98,16,52,30.77,Seafood
SIN JFK,2024-08-12,Monday,S,Dinner,5C24 SIN SCL Soya Chicken Rice,25,51,49.02,36,52,69.23,Chicken
SIN JFK,2024-08-12,Monday,S,Lunch,"5C24 SIN SCL Thai Crab Curry, Mixed Cargo Rice",25,51,49.02,22,52,42.31,Seafood
SIN JFK,2024-08-12,Monday,S,Lunch,"5C24 SIN SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",26,51,50.98,30,52,57.69,Beef
SIN JFK,2024-08-12,,S,Refreshments,Montevibbiano Pizza - Margherita,76,76,100,,,,
SIN JFK,2024-08-13,Tuesday,S,Dinner,5C24 SIN SCL Soya Chicken Rice,21,42,50,31,42,73.81,Chicken
SIN JFK,2024-08-13,Tuesday,S,Dinner,"5C24 SIN SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",21,42,50,11,42,26.19,Seafood
SIN JFK,2024-08-13,Tuesday,S,Lunch,"5C24 SIN SCL Thai Crab Curry, Mixed Cargo Rice",21,42,50,16,42,38.1,Seafood
SIN JFK,2024-08-13,Tuesday,S,Lunch,"5C24 SIN SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",21,42,50,26,42,61.9,Beef
SIN JFK,2024-08-13,,S,Refreshments,Montevibbiano Pizza - Margherita,76,76,100,,,,
SIN JFK,2024-08-14,Wednesday,S,Dinner,5C24 SIN SCL Soya Chicken Rice,23,47,48.94,32,42,76.19,Chicken
SIN JFK,2024-08-14,Wednesday,S,Dinner,"5C24 SIN SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",24,47,51.06,10,42,23.81,Seafood
SIN JFK,2024-08-14,Wednesday,S,Lunch,"5C24 SIN SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",24,48,50,25,42,59.52,Beef
SIN JFK,2024-08-14,Wednesday,S,Lunch,"5C24 SIN SCL Thai Crab Curry, Mixed Cargo Rice",24,48,50,17,42,40.48,Seafood
SIN JFK,2024-08-14,,S,Refreshments,Montevibbiano Pizza - Margherita,78,78,100,,,,
SIN JFK,2024-08-15,Thursday,S,Dinner,5C24 SIN SCL Soya Chicken Rice,26,52,50,37,51,72.55,Chicken
SIN JFK,2024-08-15,Thursday,S,Dinner,"5C24 SIN SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",26,52,50,14,51,27.45,Seafood
SIN JFK,2024-08-15,Thursday,S,Lunch,"5C24 SIN SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",26,51,50.98,32,51,62.75,Beef
SIN JFK,2024-08-15,Thursday,S,Lunch,"5C24 SIN SCL Thai Crab Curry, Mixed Cargo Rice",25,51,49.02,19,51,37.25,Seafood
SIN JFK,2024-08-15,,S,Refreshments,Montevibbiano Pizza - Margherita,79,79,100,,,,
SIN JFK,2024-08-16,Friday,S,Dinner,5C24 SIN SCL Soya Chicken Rice,14,29,48.28,21,28,75,Chicken
SIN JFK,2024-08-16,Friday,S,Dinner,"5C24 SIN SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",15,29,51.72,7,28,25,Seafood
SIN JFK,2024-08-16,Friday,S,Lunch,"5C24 SIN SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",15,29,51.72,14,28,50,Beef
SIN JFK,2024-08-16,Friday,S,Lunch,"5C24 SIN SCL Thai Crab Curry, Mixed Cargo Rice",14,29,48.28,14,28,50,Seafood
SIN JFK,2024-08-16,,S,Refreshments,Montevibbiano Pizza - Margherita,73,73,100,,,,
SIN JFK,2024-08-17,Saturday,S,Dinner,5C24 SIN SCL Soya Chicken Rice,20,41,48.78,35,45,77.78,Chicken
SIN JFK,2024-08-17,Saturday,S,Dinner,"5C24 SIN SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",21,41,51.22,10,45,22.22,Seafood
SIN JFK,2024-08-17,Saturday,S,Lunch,"5C24 SIN SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",20,39,51.28,31,45,68.89,Beef
