segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
BKK MAA,2025-04-30,Wednesday,Y,Dinner,"5C19 BKK FFM Oven Baked Fish, Mashed potato, Edamame, Carrot",61,203,30.05,55,214,25.7,Seafood
BKK MAA,2025-04-30,Wednesday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",60,203,29.56,100,214,46.73,Chicken
BKK MAA,2025-04-30,Wednesday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",82,203,40.39,59,214,27.57,Vegetarian
BKK MAA,2025-05-01,Thursday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",48,161,29.81,40,157,25.48,Seafood
BKK MAA,2025-05-01,Thursday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",48,161,29.81,73,157,46.5,Chicken
BKK MAA,2025-05-01,Thursday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",65,161,40.37,44,157,28.03,Vegetarian
BKK MAA,2025-05-02,Friday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",66,164,40.24,44,164,26.83,Vegetarian
BKK MAA,2025-05-02,Friday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",49,164,29.88,74,164,45.12,Chicken
BKK MAA,2025-05-02,Friday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",49,164,29.88,46,164,28.05,Seafood
BKK MAA,2025-05-03,Saturday,Y,Dinner,"5C19 BKK LRG Mixed Vegetables in Coconut Sauce, Black eye bean with Brinjal, Steamed Basmati Rice",65,162,40.12,53,163,32.52,Vegetarian
BKK MAA,2025-05-03,Saturday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",48,162,29.63,74,163,45.4,Chicken
BKK MAA,2025-05-03,Saturday,Y,Dinner,"5C24 BKK FFM Fish Arrabiata with Fusilli Pasta, Mushrooms and Eggplant",49,162,30.25,36,163,22.09,Seafood
BKK MAA,2025-05-04,Sunday,Y,Dinner,"5C24 BKK FFM Madras Chicken with Steamed Rice, Carrot Corn Poriyal",50,169,29.59,82,175,46.86,Chicken
